Question,Answer
What steps should I take if I need to manually enter a sale in the accounting system?,"To enter sale voucher in Busy you can follow the below steps:
 Step 1: Go to trasaction then select sales and click on add 
 Step 2: Mention details in header part such as date , voucher number , sale type and party name .
 Step 3: Then mention item details for the transaction and save voucher"
What steps should i follow to avoid duplicate voucher number if numbering is manual?,"To avoid duplicate voucher number if numbering is manual, you need to follow these steps: 
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the voucher series and click on voucher numbering.
Step 4: Choose the numbering type as manual then select don't allow in duplicate voucher number and save."
What steps should I take to automatically pick the default sale type in the sales voucher according to the party?,"To pick the sales type automatically in the sales voucher according to party then follow the below steps.
Step 1: Click on administration and then masters
Step 2: Then account and click on modify, here open the party master
Step 3: On right side, enable the option specify default sale type then select and save it. When you enter the voucher the sale type pick automatically as per party master."
What steps should I take to automatically capture the vendor's name in purchase vouchers?,"The vendor name not automatically capture in the purchase voucher in standard voucher. If your purchase will happen with the one vendor then you can add it in POS purchase voucher, there it shows what default vendor name.
 Please Follow the Below Steps :
 Step 1: Go to administration and then configuration
 Step 2: Then voucher series configuration and select the required purchase and the series in which you want it.
 Step 3: On right bottom, enable the option as advance POS data entry then click on POS configure button.
 Step 4:  In the header configuration option, you can set the default party and set it as variable and other fields and mention the other required details also then save it."
What steps should I follow to post fixed asset purchase entry through journal voucher?,"To post purchase fixed asset entry through journal voucher in Busy, follow the below steps:
Step 1: Go to Transaction menu and select Journal voucher.
Step 2: Click on Add and enter the required details such as Date, Vch number, gst nature in header part.
Step 3: Now, post the accounting entry for purchase fixed asset then save the voucher."
What steps should I take to troubleshoot invalid messages when entering the serial number in BUSY?,"To troubleshoot invalid messages when entering the serial number in Busy, you can try the following steps:
 
 Step 1. Double-check the serial number: Make sure you have entered the correct serial number without any types or mistakes.
 Step 2. Verify the format: Ensure that you are entering the serial number in the correct format specified by busy.
 Step 3 : Serial must be of 6 or 8 digit"
What steps should I take when entry was made and showing in modify option but not in sales list?,"You need to follow the below steps if entry not showing in the list.
Step 1: If your voucher is with zero value or you have cancelled it then it does not show in the list.
Step 2: If you are using approval feature and your voucher is unapproved then it will not reflect in the list.
Step 3: If you are sub user and have no rights to view the list. "
Where is the options are available for voucher configuration?,"Step 1: Go to Administration and click on configuration.
Step 2: Choose the Voucher Series Configuration option and select the voucher type that you want to apply the discount for, such as sale, purchase, etc. Then, select the voucher series and click on Voucher Configuration."
What tax rate should be applied when purchasing from a composition dealer should I apply GST taxes on purchase voucher?,"If you have purchase from composition party then you need to follow the below steps.
Step 1: Click on administration and then master, here click on add and select the party master type of dealer as composition after that enter other details then save it.
Step 2: Click on purchase type and then add, here mention the name as composition purchase
Step 3: In taxation type, you have to choose the composition dealer then select region and save it."
What to do if a fresh invoice keeps showing the old invoice number in Busy?,"If showing old invoice number on fresh invoice, then follow these steps:
Step 1: Take backup of your company then go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the voucher series and click on voucher numbering.
Step 4: Choose the numbering type as either Automatic and change the starting number as required then save and select no on renumbering option."
When adding any voucher in any series then run time error 5 occurs. How to fix it?,"To resolve the run time error 5 issue while adding any voucher then follow the below steps.
Step 1: Take the backup of your data.
Step 2: Go to housekeeping and click on incomplete voucher, If you find any vouchers then delete it by using shortcut key f8 or alt+f8 to delete all vouchers at once.
Steo 3: If still issue presists then check junk characters and run reindex database."
What will be the reason if not getting a popup for the print item barcode option while saving the voucher?,"If not getting a popup for the print item barcode option while saving the voucher, follow the below steps: 
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Sales return, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, set Yes on print item barcode after saving option and save."
What should i do if the salary component is missing showing during voucher entry?,"If showing salary component is missing error during voucher entry follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and select salary calculation voucher type.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, click on configure salary components and specify the components as specified in the employee master salary structure then save."
What should i do if the voucher number is showing 11 instead of 1 during voucher Entry?,"If the voucher number is showing 11 instead of 1 during voucher Entry follow the below steps: 


Step 1: Go to Administration 閼存瑥鐎懘妤勪画閼存浼 Configuration 閼存瑥鐎懘妤勪画閼存浼 Voucher Series Configuration.
Step 2: Select required voucher type & series then click on voucher numbering option.
Step 3: Check the starting number, there must be 11 instead of 1. Correct it and check.

Note:- Take backup before doing any changes related to voucher numbering."
What's the procedure for reconciling bank statements with transactions in BUSY?,"If you wan to reconcile your bank statement with busy then follow the steps.
 Step 1. Go to Administration then click on Configuration.
 Step 2. Now click on Features and Options and click on Accounts Button.
 Step 3. Now enable Bank Reconciliation Feature.
 Step 4. Then Go to Display and click on Bank Recociliation option.
 Step 5. Now click on Show uncleared entries and select your Bank Account Master from 
 the drop down menu.
 Step 6. Then Select the specific period you want to reconcile.
 Step 7. Now within the report of uncleard entires choose entry you want to reconcile.
 Step 8. Now After choosing the uncleared entry Press F4 button and enter the clearing 
 date to clear the seledted entry."
What's the process for generating a credit note with item invoice for sales returns in BUSY?,"To generate credit note for sales return in busy then follow the below steps.
 Step 1: Go to transactions and then sales return option
 Step 2: Click on add, Here enter the original sales voucher details after entering on party master then item details will get pick automatically in the voucher, after that save the voucher."
What's the process for sending bulk emails to multiple parties in Busy?,"To send bulk emails to multiple parties from Busy, follow these steps:
Step 1: Go to administration menu and click on utilities.
Step 2: Select send email option and here select either one account or group of accounts option.
Step 3: Select the account group and if you want to send some attachment then tick on PDF attachment.
Step 4: Select the attachment then enter the message and send. Email id will be picked from the party master."
What's the process to check and configure email settings in BUSY?,"Check and Email configration please follow below mention steps for email configration option:-
 Step 1:- Administration Tab
 Step 2:- Configration
 Step 3:- Email Configration, check SMTP server details and id and generate password for Busy app from google settings then securities set generate password and enter in Busy."
WhatsApp desktop is not detecting my phone or unable to scan the QR code. What should I check to resolve this?,"If WhatsApp desktop is not detecting my phone or unable to scan the QR code, you can try the following steps:
 Step 1 : Check your internet connection: Ensure that you have a stable and reliable internet connection. You can try restarting your router or connecting to a different network.
 Step 2 : Update WhatsApp: Make sure that you have the latest version of WhatsApp installed on your computer. Updates often include bug fixes and improvements that can help resolve connectivity issues.
 Step 3 : Restart WhatsApp: Close the WhatsApp desktop application and reopen it. This can help refresh the connection and resolve any temporary glitches.
 Step 4 : Clear cache and data: In the WhatsApp desktop settings, you may find an option to clear cache and data. Try clearing this to remove any temporary files that could be causing the connection issues.
 Step 5 : Disable VPN or proxy: If you are using a VPN or proxy service, try disabling it temporarily. Sometimes, these services can interfere with the connection to WhatsApp.
 Step 6 : Check firewall settings: Ensure that your firewall settings are not blocking the connection to WhatsApp. You may need to add an exception or allow WhatsApp through the firewall.
 Step 7 : Reinstall WhatsApp: If none of the above steps work, you can try uninstalling and reinstalling WhatsApp on your computer."
WhatsApp API integration seems to be broken. When will this be fixed?,"To correct api while sending invoice and report in whatspp from Busy , you can follow the steps below:

Step 1: Go to administration then click on configuration
Step 2: Select sms/api configuration option
Step 3: Select whatsapp format and make sure api is correct and all deatils are mentioned then save
Step 4: Also check your intenet connection and send sms"
"When converting a sales order to an invoice in Busy, will it automatically pick the right sales order based on party name?","In the sales invoice, you can pick the sales order for the party from below steps.
Step 1: Go to transactions and then sales, click on add
Step 2: Select party whose order you want to adjust in sales voucher
Step 3: Then put the cursor in item field and press f11 shortcut key, here the sales order window will appear then select the order as per your need then save it. "
"When entering older barcodes on a new sale voucher, it's pulling the outdated lower prices instead of the new current pricing. How can I make it use the newest pricing?","While scanning an old barcode in sales invoice, pricing will pick as same as details specify while entering the barcode. To modify the existing barocode pricing, you need to modify the existing purchase voucher by follow these steps:
Step 1: Take the latest backup of data.
Step 2: Go to Administration menu and then select configuration option.
Step 3: And then select features and option and select inventory menu
Step 4: After then click on the configure button of parameter details and here,you have to tick on the maintain sales price option and save the configuration.
Step 5: Now,Go to the transaction section then click on Sales voucher type
Step 6: Select the modify option then access the required invoice in modify mode.
Step 7: Now, press enter key on quantity of required item master to open the parameter details window where you can update the price.
Step 8: After modification, save the invoice."
"When generating a sales return in BUSY, how can I apply it against the original sales invoice? Is there a way to link the two?","In Busy, you can link the sales return invoices to sales invoice by specify the original sales details at sales return entry by following steps:
Step 1: Go to transaction section then click on sales return voucher type
Step 2: Click on add option then mention the details like voucher number, date, party name, item , qunatity and many moe.
Step 3: A window for original sales details will dipslay before saving the invoice, mention the originial sales invoice details and save the invoice."
"When generating an invoice, I am asked for a receiptance PIN code but I don't know where to find it. What is this PIN code and how can I get it for my transactions?","To get the pincode of receiptance you can follow the steps. 
 Step 1. You can check the pincode in party master. 
 Step 2. IF you did not filled the pin code in party master then you can validate the gstin and can find the pincode. 
 Step 3. If your party is unregistered then you can ask to your party about their pincode."
How to print payment voucher in Busy?,"To print the payment voucher in Busy, follow the below steps:
Step 1: Go transaction section then click on payment and select modify tab.
Step 2: Now, open the voucher in modify mode then press ALT+P shortcut to give print command.
Step 3: Next, select payment advice option then choose standard format and click on print."
"When I add freight charges to a tax inclusive invoice, the taxes are not being calculated on the freight amount. What should I do to include freight charges in the taxable amount?","If you are using taxinclusive in the invoice then not be able to charge the tax on freight amount which you have added as bill sundry. You have to create freight charges as an item from the below steps.
Step 1: Go to administration and then masters
Step 2: Then item and click on add, here enter the item name as freight charges.
Step 3: Select the unit as NA, enter hsn code and enable the specify purchase account then choose freight charges account due to this in balancesheet will reflect in expense account not in purchase.
Step 4: On right bottom, enable the do not maintain stock balance option so that your stock will not get maintain it and save it."
"When I enter a sales return, it's being booked under ""Sales"" instead of ""Sale Returns."" What am I doing wrong?","If you want to enter the sales return in the sales voucher,then pls follow the below steps :
 Step 1: Go to administration and then configuration
 Step 2: Then features and options and click on inventory tab
 Step 3: On left bottom, enable the allow sales return in the sales voucher option then save it. after that go to transaction and click on sales
 Step 4: Click on add, in the quantity column you have to enter the sales return quantity with minus sign. According to this you can directly pass sales return in sales."
When i opened busy show Machine ID mismatch,"While opened busy error message show Machine ID mismatch follow the below steps:


Step 1: Go to Licence management
Step 2: Go to Get softlock Licence 

Serial No
Registered Email id 
Registration Password (Forgot Password) 

Step 3: Surrender Softlock Licence file (Ask Would you like to continue with Surrender ?)

Serial No
Registered Email id 
Registration Password (Forgot Password) 

 Step 4: Softlock Registration 

Serial No
Activation Key  and click on Validate Serial No
Register softlock 

Step 5: After Received Licence file on mail 
Step 6: download file > Copy licence file > Paste where is busy installed >Reopen busy"
When I opened Busy Show HDD mismatch,"Step 1: Go to Licence management
Step 2: Go to Get softlock Licence 

Serial No
Registered Email id 
Registration Password (Forgot Password) 

Step 3: Surrender Softlock Licence file (Ask Would you like to continue with Surrender ?)

Serial No
Registered Email id 
Registration Password (Forgot Password) 

 Step 4: Softlock Registration 

 
Serial No
Activation Key and click on Validate Serial No
Register softlock 

Step 5: After Received Licence file on mail 
Step 6: download file then Copy licence file and Paste where is busy installed and then Reopen busy"
"When I regenerate vouchers, the changes made to in the bill sundry of tags or account heads are not reflected. What could be the reason and solution for this?","When the changes have not done from regenerate dual voucher process in the voucher where you have applied the bill sundry.
 Pls follow the below steps :
 Step 1: When you do the changes for tags and account head in the bill sundry then re enter it that bill sundry in the voucher after removing from the F9 shortcut Key and save it.
 Step 2: Then after data backup run the regenerate dual voucher from housekeeping."
How can I pass the sales SEZ unit sales voucher in busy?,"To pass the SEZ unit sales voucher then follow the below steps.
Step 1: Click on Transactions and then purchase
Step 2: Select purchase type and click on add option,here enter name as SEZ.
Step 3: Then choose taxation type as per your requirement and select region then save it.
Step 4: Go to transactions and then sales
Step 5: Click on add, here select the sale type as SEZ then enter other required details and save it."
"When I try to make a sale from my Delhi branch for a Chennai-based customer in Busy, I get an error about interstate sales. What does this mean and how can I process the sale?","Here are some steps you can take to process an interstate sale in Busy and address the error:
Step 1: Ensure that both your Delhi branch and the Chennai-based customer are registered under GST.
Step 2 : When creating the sales voucher in Busy, make sure to select the correct GST rate for interstate sales.
Step 3: Ensure that you generate the E-way Bill for the goods being transported from your Delhi branch to the Chennai-based customer.
Step 4: In the sales voucher, specify the correct place of supply. 
Step 5: Double-check that the state codes for Delhi and Chennai are accurately entered in the system."
"when I try to make changes to an existing invoice, it shows the invoice has already exist, do you want to contnue ?","Issue: When I try to edit an existing invoice, it says the invoice already exists, and it asks if I want to continue. Why does this happen? 
 
 Step 1: Understand the Problem 
 The issue occurs because the system has detected that there is already an invoice with the same number in the same voucher series or a different series of same voucher. 
 Step 2: Resolve the Issue 
 To fix this, you need to make changes to the invoice number. By giving the invoice a different number, you can avoid conflicts with existing invoices. This will resolve the problem, and you should be able to continue making the changes you need."
What should i do if not showing invoice printing option after saving voucher?,"If not getting invoice printing option while saving the voucher, follow the below steps: 
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Sales return, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, set Yes on print invoice after saving option and save."
"When I try to tag vouchers for ITC claiming in Busy, it is not allowing me to select certain vouchers. How can I tag all vouchers?","If you are unable to claim Input Tax Credit or ITC for a specific voucher in Busy, ensure that the particular voucher exists in the Busy data before attempting to tag it for ITC claiming.Further, if the invoice does not exist in database then you can add the particular invoice. To using itc tagging option, please follow below steps:
Step 1: Go to Transaction menu and then select GST misc. utilities option.
Step 2: After then Click on monthly ITC tagging as per 2A/2B 
Step 3: Select then voucher & press F4 & then specify the status of voucher pending or claimed & in which month you have to claim."
How to enable billing shipping feature in Busy?,"To enable billing shipping feature in Busy, follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Sales return, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, set Yes on seperate billing shipping details option and save."
I want to enter PO number and date in sale invoice. What should i do?,"If you want to enter PO number and date in sale invoice, follow these steps: 
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Sales return, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, specify the number of optional fields as per the requirements then click on configure button.
Step 5: Enter the field name, select type and maintain master database as No. then save. Now when you add sale voucher a window will appear in that you can specify the PO number and date."
Where are the accounting journal entry functions located and how can i post journal entry in Busy?,"To enter Accouning journal voucher follow some step and those are-
 Step 1: Go to Transaction and click on journal option 
 Step 2: After click on journal option click on 'Add' option and enter all the required field in voucher For example- Date, voucher no. and so on and enter accounting entry"
Why the email option not showing under configuration.,"If email option not showing under configuration then might be these possible reasons:
1. Check which model of Busy you are using, if you are using basic then email configuration option not a part of it.
2. Might be you are logged in from a sub user who doesn't have rights for email configuration. In that case you have to log in your company from admin user."
Where can I check the voucher series configuration?,"You can check the voucher series configuration in busy, please follow below steps : 
Step 1: Go to Administrastion menu . 
Step 2 : and the Configurationmenu 
Step 3 : Within Configuration menu you can selectVoucher series configuration"
Where can I do the transaction for transfer money to bank in busy?,"To post transaction for money transfer into bank, you need to post contra entry by follow the below steps:
Step 1: Go to transaction section then click on contra voucher and select add tab.
Step 2: Now, specify the voucher date, series and voucher number.
Step 3: Next, Post accounting entry for money transfer into bank then save the voucher."
Where can I find cancelled bill reports in Busy,"If you want to see cancelled voucher in BUSY, you can follow these steps:
Step 1: Go to the Display menu and click on the Check List option.
Step 2: Choose the Voucher Numbering Reports option and then select the Cancelled Voucher Nos. option.
Step 3: Specify the voucher type and date range that you want to search. The report will show you the list of cancelled vouchers."
Where can i find offline email saved in Busy?,"To check offline email saved in Busy, you need to follow these steps:
Step 1: Go to administration menu then select utilities option.
Step 2: Select offline email / sms and you will see the saved emails which you can send from here."
,"It seems like you are describing a specific prompt or message within the BUSY's administration menu related to carrying forward balances and bank reconciliation to the next fiscal year. This prompt is likely part of the year-end closing or fiscal year transition process. Here's how you can proceed based on the information provided:
Step 1:Log in to your BUSY with the necessary administrative privileges.Navigate to the Administrationmenu or option within the software."
Where can I find the configuration for my sale invoice series?,"To find the configuration for sale voucher in Busy, you need to follow these steps:
Step 1: Go to Administration then click on Configuration.
Step 2: Select Voucher Series Configuration and choose sales.
Step 3: Select the series and click on Voucher Configuration."
Where can I find the option to carry forward uncleared bank reconciliation entries in BUSY,"To find the option to carry forward uncleared bank reconciliation entries in BUSY, you need to follow below steps.
Step 1: Open the company in BUSY.
Step 2: Under Administration, then select change financial year, you will get Carry Bank Reconciliation Entries."
Where can I find the option to clear all entries or vouchers on a certain date in Busy during bank reconciliation?,"To clear all the vouchers of bank reconciliation please follow these steps:
Step 1: Go to display menu
Step 2: Then click on bank reconciliation option
Step 3: Then click on show uncleared entries option
Step 4: Select the bank account and open the report 
Step 5: Afterwards select all vouchers 
Step 6: Then press shortcut key F4 to clear all entries"
Where can I find the option to generate e-bill and e-invoice after saving a voucher?,"To find the option of generate e way bill and e invoice after saving in Busy, you need to follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and click on voucher configuration.
Step 4: Here, on right side you will find the option Generate E way Bill After Saving and Generate E Invoice After Saving."
Where can I find the utilities option to send pending emails in BUSY?,"We can send the pending emails from the utilitoes below steps :
 Step 1: Click on administration
 Step 2: Then Utilities
 Step 3: Then Offline Email / SMS
 Step 4: Pending emails will show then click on send option."
Where can I find the voucher series configuration in busy to disable the POS option?,"To disabled POS option in busy, follow these steps:
Step 1: First take backup then Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and click on voucher configuration.
Step 4: Here, on right side bottom set No on enable advanced POS data entry option and save."
Where can I find the voucher configuration section in BUSY?,"To find the voucher configuration section in Busy, you can follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and you will see voucher configuration."
Where can I find the voucher series feature in BUSY?,"To access the voucher series configuration option in Busy, follow these steps:
 Step 1: Go to Administration and then click on configuration tab
 Step 2: Select the voucher series configuration option"
How can i transfer profit and loss amount of previous financial year into capital account in Busy?,"If you want to Transfer the Profit or loss of the Previous year to the Capital account, follow the below steps :
Step 1: Login the company then press F11 to switch to previous financial year.
Step 2: Now, Go to transaction section then click on journal entry and choose add tab.
Step 3: Next, Specify the voucher number, date, series and GST nature as not applicable.
Step 4: Afterward, post accounting entry for transfer profit and loss amount into capital account then save the voucher."
Where can I remove or change the PIN code in the Transport Details window?,"To change or remove the pin code in transport window during voucher entry, follow these steps:
Step 1: Go to transaction then select the required voucher type like sales, purchase, sale return etc.
Step 2: Click on Modify option and open the invoice in which you want to change or remove pincode.
Step 3: In transport window will appear before saving the invoice, here you can do the changes and save the invoice."
Where can I see the bill to and ship to details in the voucher,"In Voucher, We have to use billing shipping details. It is used when Billing and shipping details is different.
Pls Follow the Below Steps :
Step 1: Administration
Step 2: Configuration
Step 3: Voucher Series Configuration
Step 4: Select required voucher type and series
Step 5: Enable the Seperate Biling Shipping details Option
Step 6: During Voucher Entry,The window will get open after party master."
Where can I see the pending PDC cheques yet to be regularised and how can i regularise in Busy?,"To regularized pending PDC entry in busy follow these steps 
step 1: Go to administration menu then select Miscellaneous data entry option.
step 2: click on regularize PDC then select bank and specify the starting and ending date 
step 3: Here, all pending PDC entries will show. you can select entries and click on regularize option then check bank balance."
Where can I post payment entry in Busy?,"To post payment entry in Busy, follow these steps:
Step 1: Go to transaction section then click on payment
Step 2: Click on add then specify the voucher number, date, series, gst nature in header.
Step 3: Post accounting entry for payment and save the voucher."
Where do I enter the debit note without item details in the BUSY?,"To enter the debit note without item then you need to follow the below steps.
Step 1: Go to transactions and then debit note without items
Step 2: Click on add,here select gst nature then debit the party account, credit tax account and purchase or sales account then save it. "
Where do I enter the transporter's GSTIN number in Busy?,"To enter the transporter's GSTIN in Busy, you need to follow these steps:
Step 1: Go to Administration and click on Miscellaneous Data Entry.
Step 2: Select Input Transporter's GSTIN / ID option then click on Load Transporters.
Step 3: You can enter the Gst number of the transporter in gst number column then save it.
Step 4: You can also add new transporter and update the existing one in the transport details window during voucher entry."
Where do I find the menu for editing past invoices?,"For finding the menu for editing past invoices in Busy you need to follow below steps.
 
 Step 1: Go to transcation menu and select sales.
 Step 2: In sales select modify option after that modify sales invoice window will open.
 Step 3: Make the necessary changes and click on save button."
Where do I go in the software to view and select from present narrations to use in vouchers?,"To predefined narration for the vouchers then follow the below steps.
Step 1: Go to adminitration then click on masters
Step 2: Now select standard narration and click on add
Step 3: Select voucher type and mention narration and save
Step 4: When adding voucher you can pick narration by f4 key."
"Where does BUSY save previously saved customer bills or invoices, and how can I access them?","To check the inventory sales register then follow the below steps.
Step 1: Click on display and then inventory books
Step 2: Select inventory register standard and then sales register
Step 3: Select all parties and then select the branch and enter the date range for which you want to view the report then press ok button."
Where is the Item Pricing Mode setting in Busy and how do I change it to pick the last price given to a customer,"For pick the last price given to a customer, follow these steps:
Step 1: Go to administration menu and then configuration
Step 2: Select features and options then click on inventory tab
Step 3: In the right bottom,click on item pricing mode in vouchers option, here choose show party last price in sales voucher then save it."
"Where is the option to select bill from, ship from in the transfer details window?","To select the transaction type as bill to ship to in the sales voucher while generating eway bill then follow the below steps.
Step 1: Click on transactions and then sales
Step 2: Open the voucher in modify mode, when you save the voucher then transport details window will appear. In the transaction type option you have choose bill to ship to then press ok to proceed further."
Where is the setting to turn on billing and shipping addresses in Busy?,"To turn on billing and shipping addresses in Busy, you need to follow the below steps:
Step 1: Go to Administration, then select Configuration, then select Voucher Series Configuration.
Step 2: then select a voucher such as sale, purchase, etc., then click on the voucher to find the series. Select the series in which you want to enable,
Step 3: Then click on voucher configuration, and you will find the option of separate billing and shipping details.
Step 4: Save to configuration by pressing F2 or the save tab."
How to enable tranport details in voucher?,"In Busy, to enable transport details in voucher, follow these steps:
Step 1: First take backup then Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and click on voucher configuration.
Step 4: Here, on top right set Yes on input transport details option then save."
Where is voucher configuration in Busy,"In Busy, the voucher configuration can be found follow below steps.
Step 1. Go to Administration option 
Step 2. Select Configuration
Step 3. Select Voucher Configuration"
Where is the Voucher Series Configuration option?,"The voucher series configuration option you find in :
Step 1 : Click on administration
Step 2 : Then configuration
Step 3 : Click on voucher series configuration"
Where should I enter Section () related entries in Busy?.,"To do the entries related to zomato,swiggy in sales voucher then follow the below steps.
Step 1: Click on administration and then masters
Step 2: Then sale type and click on add option, here enter name, select taxation type and region as per your needs.
Step 3: Then enable supplied notified under section 95 and choose the zomato or swiggy account after creating it then save it.after that select sale type in sales voucher."
"I don't want to enter quantity, unit and price in voucher entry. What should i do?","If you do not want to enter quantity, unit and price in voucher, follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and click on voucher configuration.
Step 4: Here, set Yes on skip item quantity / unit / price option then save."
I want to see only one group parties during voucher entry. What should i do?,"If you want to see only one group parties during voucher entry, follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and click on voucher configuration.
Step 4: Here, set Yes on  value for party dropdown and mention that group name then save."
Where to change the password of email in BUSY?,"To change the password of email in Busy, follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select email configuration and here you can change then password and save."
Where to paste app password in Busy for email?,"To configure BUSY to send emails, you need to follow these steps:
 
 Step 1. Open BUSY and go to the Configuration menu.
 Step 2. Select Email Configuration from the options.
 Step 3. Enter your email address and two step verification password in the provided fields.
 Step 4. Choose the email service provider you are using (e.g., Gmail, Outlook).
 Step 5. Enter the SMTP server and port details for your email provider. You can find these details in the email settings of your email account.
 Step 6. Enable SSL/TLS encryption if required by your email provider.
 Step 7. Save the settings and test the email configuration by sending a test email.
 If you are still unable to send emails, make sure that your internet connection is stable and that your email account is properly set up. You may also need to check your firewall or antivirus settings to ensure they are not blocking the software from sending emails."
Where we can Enter transport details in Busy invoices?,"If the transport details is not showing for local transactions then need to follow the below steps.
Step 1: Go to administration and then configuration
Step 2: Then voucher series configuration and select voucher series in which you want to use it.
Step 3: Click on voucher configuration and enable input transport details then save it."
Where's the credit note option in Busy? How to find it?,"Follow below steps to find the option of credit note in Busy:
 Step 1: Go in transaction section.
 Step 2: Select Cr. note option which is given.
 Step 3: Click on add new.
 Step 4: Specify required details.
 Step 5: While saving it will ask you the original invoice number.
 Step 6: Mention it and save."
While creating a sales invoice showing a message of data entry with this account is not allowed in this voucher series.,"If showing error message data entry with this account is not allowed, then follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and click on masters controls.
Step 4: Here, check if any apply control on party for disallowing so disable that and save."
"While doing softlock  registration it is asking for Busy serial number.
which i don't have .What should I do ?","To find out your Busy serial no follow the steps mentioned below :
 Step 1 : Check your registered email id and search Busy registeration related emails
 Step 2 : Check your Busy Purchase invoice and find out the serial no mentioned there."
While entering the voucher of sale item pricing or discount window option.,"If item pricing and discount window not opening in the sale voucher then follow below steps:

Step 1: Go to administration menu and select configuration option.
Step 2: Then select voucher series configuration option and then select sale voucher type and its series.
Step 3: Then click on voucher configuration option and make sure you have enable the item wise discount option."
How to can delete a voucher series in Busy?,"To delete a voucher series in Busy, follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and click on delete series then delete. If voucher exist in that series then can not be deleted."
"While saving a voucher in Busy, its auto consolidated items. How do i stop it?","To stop consolidate items while saving voucher, you need to follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and click on voucher configuration.
Step 4: Here, click on configure standard / advanced POS options and set No on consolidate items while saving option then save."
"While sending email from Busy, showing SMTP related error. What should i do?","If showing smtp related error while sending email from Busy, then you need to check these troubleshooting steps:
Step 1: Go to Email Configuration from the Configuration menu.
Step 2: Check the SMTP, Email id, etc are correct.
Step 3: If using gmail id then you need to generate app password from the google account setting and mention in Busy.
Step 4: Make sure your antivirus not blocking the Busy to access the internet connection.
Step 5: Check after change the internet connection."
Print Barcode option not showing after saving an invoice. How can I resolve this?,"If you are unable to print or generate Barcode from Busy please check these steps:

Step 1: Go in Administration then Configuration.

Step 2: Then select voucher series configuration then select sale voucher then select voucher configuration.

Step 3: Then pick option yes in print barcode after saving invoice.

Step 4: If you have enabled this please check barcode printer settings.

Step 5: Check default printer in Barcode configuration as you have picked correct or not.

Step 6: Also check Barcode configuration from add on option."
How can i fixing my voucher number length?,"If you want to customize voucher numbering sequence in Busy , you can follow these steps:
Make sure to take latest backup before make any changes.
Step 1: Go to Administration and click on configuration.
Step 2: Choose the Voucher Series Configuration option and select the voucher type of that you want to enable voucher numbering for, such as sale, purchase, etc. Then, select the voucher series and click on Voucher Numbering.
Step 3: Choose the Numbering Type as either Automatic or Manual. 
Step 4: After selecting Automatic set the prefix, suffix, and Starting No. as per your needs and click on OK to save the settings."
"How can we restrict vouchers for saving, if the voucher amount is zero ?","If you don't want to save bill with zero amount, then follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration and choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the series and click on voucher configuration.
Step 4: Here, set yes on zero value validation then click on configure button and tick on disallow zero voucher amount and save."
